rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Radio FM,ST ESTEBEN SERGIO ALBERTO,FM 93.3 RADIO CITY,Buenos Aires,DOLORES,130623.20,,,130623.20
Radio FM,RECORD S.R.L.,FM 98.5 MITRE,Neuquen,NEUQUEN,130590.00,,,130590.00
Radio FM,ADAD GRACIELA DEL CARMEN,FM 98.7 RADIODIFUSORA SAN MARTIN,Salta,ROSARIO DE LA FRONTERA,130200.00,,79200.00,51000.00
TV Cable,REVERT CUCART ANDREA NOEMI,CANAL 48 TV,Santa Fe,ELORTONDO,130036.00,,15196.00,114840.00
Grafica,DIEZ MATIAS EDUARDO,ALERTA MILITANTE,Capital Federal,CAPITAL FEDERAL,130000.00,,50000.00,80000.00
Grafica,GRILLO FRANCISCO JUAN CARLOS,PERIODICO VILLAS,Capital Federal,CAPITAL FEDERAL,130000.00,,40000.00,90000.00
Grafica,GUAGLIANONE RICARDO AGUSTIN,REVISTA EL ADAN,Capital Federal,CAPITAL FEDERAL,130000.00,,40000.00,90000.00
Web,LOPEZ MARCELA MONICA,WWW.INFOBAIRES.COM.AR,Capital Federal,CAPITAL FEDERAL,130000.00,,60000.00,70000.00
Web,COOPE DE PROV DE SERV PARA EDI,www.ebcprensacooperativa.net.ar,Capital Federal,CAPITAL FEDERAL,129948.00,,,129948.00
Grafica,GASSI DIEGO EDUARDO,REVISTA DALE,Capital Federal,CAPITAL FEDERAL,129285.00,,43095.00,86190.00
Radio FM,PUBLICIDAD OVIDIO LAGOS S.A.,FM 90.3,Entre Rios,VICTORIA,129213.48,129213.48,,
Web,HOURMILOUGUE CARLOS ALBERTO,PERIODISMO CONSUMER RADIO ONLINE,Capital Federal,CAPITAL FEDERAL,129110.39,,,129110.39
Radio FM,OLIVERA PABLO CESAR,FM 97.9 REFLEJOS,Buenos Aires,PIGUE,129045.00,,,129045.00
Web,LANDI LUIS SEBASTIAN,WWW.ELOTRO.COM.AR,Mendoza,LUJAN DE CUYO,129000.00,,,129000.00
Web,TEBELE FERNANDO RAFAEL,www.laretaguardia.com.ar,Capital Federal,CAPITAL FEDERAL,129000.00,,,129000.00
Radio FM,COOP. DE TRABAJO COOMUNICCAR,FM 105.1 RADIO COOPERATIVA,Buenos Aires,NECOCHEA,128920.66,,44002.86,84917.80
Grafica,SENTIDOS S.A.,JORNADA,Mendoza,MENDOZA,128356.80,,128356.80,
Radio FM,JARUR DUERY RICARDO FUAD,FM 94.5 VOS,Mendoza,MENDOZA,128040.00,,34660.00,93380.00
Radio AM,GARCIA ALEJANDRO ROBERTO,UNCB,Capital Federal,UNION DE CLUBES DE BARRIO,128010.00,,,128010.00
TV Cable,NIHUIL S.A.,AM 680 LV6 RADIO NIHUIL,Mendoza,NIHUIL,127776.00,127776.00,,
Radio FM,COOP.TRAB.ONDAS DEL SUR LMTDA.,FM 94.3 ONDAS,Buenos Aires,BAHIA BLANCA,127413.00,,43981.08,83431.92
Web,DS COMUNICACION S.A.,WWW.NOTITRANS.COM,Capital Federal,CAPITAL FEDERAL,127155.00,,,127155.00
TV Cable,WORLD MANAGEMENT SRL,FX,Capital Federal,CAPITAL FEDERAL,127050.00,,,127050.00
Web,AGUILAR DIAZ JUAN MANUEL,VOCESYAPUNTES.COM,Santa Cruz,CALETA OLIVIA,127050.00,,25410.00,101640.00
Web,DUMONT SEBASTIAN,WWW.ELEMBUDO.TV,Buenos Aires,POLVORINES,127050.00,,50820.00,76230.00
Web,THEILL ALEJANDRO JAVIER,WWW.ABCHOY.COM.AR,Buenos Aires,TANDIL,126663.33,,53270.00,73393.33
Web,CAMPILLO MARCELINO DANIEL,WWW.CHASCOMUSCIUDAD.INFO,Buenos Aires,LA PLATA,126262.50,,50662.50,75600.00
