rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Redes,GOOGLE ARGENTINA S.R.L.,YOUTUBE,Varias,Varias,152086545.57,,50354598.80,101731946.77
Web,THX MEDIOS S A,WWW.INFOBAE.COM,Capital Federal,CAPITAL FEDERAL,131534139.00,,64793201.00,66740938.00
TV Cable,MEDIOS Y PARTICIPACIONES SA,C5N,Capital Federal,CAPITAL FEDERAL,128592750.00,,51594400.00,76998350.00
TV Cable,ARTE RADIOTELEVISIVO ARGENTINO,TN,Capital Federal,CAPITAL FEDERAL,121514250.00,,51201150.00,70313100.00
TV Abierta,TELEVISION FEDERAL S.A.,CANAL 11 TELEFE,Capital Federal,CAPITAL FEDERAL,112961062.50,,31558312.50,81402750.00
Web,SENTIDOS S.A.,WWW.CLARIN.COM,Capital Federal,CAPITAL FEDERAL,111275372.25,,55057724.27,56217647.98
Web,S.A. LA NACION,WWW.LANACION.COM.AR,Capital Federal,CAPITAL FEDERAL,105376544.71,,45777145.08,59599399.63
TV Abierta,ARTE RADIOTELEVISIVO ARGENTINO,CANAL 13 ARTEAR,Capital Federal,CAPITAL FEDERAL,105155050.00,,29179150.00,75975900.00
TV Cable,ALTA DENSIDAD S.A.,CRONICA TV,Capital Federal,CAPITAL FEDERAL,102357347.08,,41178884.68,61178462.40
TV Abierta,AMERICA TV S.A.,CANAL 2 AMERICA TV,Capital Federal,CAPITAL FEDERAL,96857366.10,51240366.10,1966250.00,43650750.00
Web,TALAR PRODUCCIONES S.A.,WWW.ELDESTAPEWEB.COM,Capital Federal,Varias,95940900.00,,47202100.00,48738800.00
Redes,DIG ADS S.A.S.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,87582231.67,,13370447.07,74211784.60
Web,MEDIABIT S.A.,RED DE PORTALES - ARTEAR,Capital Federal,CAPITAL FEDERAL,85775862.92,,44633457.19,41142405.73
Web,EDITORIAL PERFIL S.A.,WWW.PERFIL.COM,Capital Federal,CAPITAL FEDERAL,76958812.05,,36505413.55,40453398.50
TV Cable,EVENTOS PRODUCCIONES S A,CANAL 26,Capital Federal,CAPITAL FEDERAL,76093878.10,,28693206.52,47400671.58
Web,EDITORIAL LA PAGINA S.A.,WWW.PAGINA12.COM.AR,Capital Federal,CAPITAL FEDERAL,67455503.50,,30356177.50,37099326.00
TV Cable,PUBLIREVISTAS S.A.,LA NACION +,Capital Federal,CAPITAL FEDERAL,62021140.93,,23932070.67,38089070.26
TV Cable,AMERICA TV S.A.,A24,Capital Federal,CAPITAL FEDERAL,59757244.46,4028103.31,3651607.03,52077534.12
TV Abierta,TELEARTE S.A.,CANAL 9 TELEARTE,Capital Federal,CAPITAL FEDERAL,56010597.50,,14985850.00,41024747.50
Web,DESARROLLOS ELECTR. INFORM. SA,WWW.AMBITO.COM,Capital Federal,CAPITAL FEDERAL,53532277.50,,24746475.00,28785802.50
Radio AM,SENTIDOS S.A.,AM 790 RADIO MITRE,Capital Federal,CAPITAL FEDERAL,52245428.40,,18239085.04,34006343.36
TV Abierta,NET TV S.A.,NET TV,Capital Federal,CAPITAL FEDERAL,51201150.00,,21687737.50,29513412.50
Web,EL CRONISTA COMERCIAL S.A.,WWW.CRONISTA.COM,Capital Federal,CAPITAL FEDERAL,48522572.77,,19123081.95,29399490.82
Radio FM,SENTIDOS S.A.,FM 99.9 LA 100,Capital Federal,CAPITAL FEDERAL,44155813.68,,13819758.48,30336055.20
Radio FM,IMC RADIOS S.A.,FM 102.3 ASPEN,Capital Federal,CAPITAL FEDERAL,41197112.00,,13033268.16,28163843.84
Radio AM,MEDIOS Y PARTICIPACIONES SA,AM 710 RADIO 10,Capital Federal,CAPITAL FEDERAL,40260814.00,,13126897.96,27133916.04
Comunicacion Directa,PUB.ESTATICA INTERNACIONAL S.A,PUB.ESTATICA INTERNACIONAL S.A,Varias,Varias,39588175.00,,19277720.00,20310455.00
Grafica,S.A. LA NACION,LA NACION,Capital Federal,CAPITAL FEDERAL,38759778.74,,20487408.40,18272370.34
Grafica,IMPREBA S.A.,DIARIO POPULAR,Capital Federal,CAPITAL FEDERAL,37347183.75,,18330625.67,19016558.08
Grafica,SENTIDOS S.A.,CLARIN,Capital Federal,CAPITAL FEDERAL,36425457.64,,18089500.00,18335957.64
Grafica,DESARROLLOS ELECTR. INFORM. SA,AMBITO FINANCIERO,Capital Federal,CAPITAL FEDERAL,35976916.23,,25067628.87,10909287.36
Redes,WEBAR INTERNET SOLUTIONS S.A.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,35190056.81,,14797891.99,20392164.82
Web,SENTIDOS S.A.,WWW.OLE.COM.AR,Capital Federal,CAPITAL FEDERAL,34607733.40,,15936561.64,18671171.76
TV Cable,WORLD MANAGEMENT SRL,TNT SPORTS,Capital Federal,CAPITAL FEDERAL,32936623.50,,22139224.80,10797398.70
Grafica,ALTA DENSIDAD S.A.,DIARIO CRONICA,Capital Federal,CAPITAL FEDERAL,31262972.47,,16890782.28,14372190.19
TV Cable,TELEVISION ABC S.A.,INFORMACION PERIODISTICA,Capital Federal,CAPITAL FEDERAL,29729700.00,,11699187.50,18030512.50
Radio FM,EL DESTAPE RADIO S.A.,FM 107.3 EL DESTAPE,Capital Federal,CAPITAL FEDERAL,29540201.90,,8585852.66,20954349.24
Grafica,EDITORIAL DIARIO LA CAPITAL SA,LA CAPITAL,Santa Fe,ROSARIO,29289260.22,22199473.06,,7089787.16
Grafica,EL CRONISTA COMERCIAL S.A.,EL CRONISTA COMERCIAL,Capital Federal,CAPITAL FEDERAL,29133268.78,,18428774.07,10704494.71
Radio FM,MEDIOS Y PARTICIPACIONES SA,FM 98.3 MEGA,Capital Federal,CAPITAL FEDERAL,28294925.56,,10374181.84,17920743.72
Radio AM,FUNDACION OCTUBRE TRAB.DE EDIF,AM 750,Capital Federal,CAPITAL FEDERAL,27882954.44,,7958533.00,19924421.44
TV Abierta,RADIO Y TELEVISION ARGENT. SE,CANAL 7 TV PUBLICA,Capital Federal,CAPITAL FEDERAL,27837562.50,,11589531.25,16248031.25
Redes,SELENE PUBLICIDAD S.A.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,27798079.20,,19328079.20,8470000.00
Radio FM,MEDIOS Y PARTICIPACIONES SA,FM 97.5 VALE,Capital Federal,CAPITAL FEDERAL,27096464.12,,9344254.04,17752210.08
Radio FM,MEDIOS Y PARTICIPACIONES SA,FM 101.5 RADIO POP,Capital Federal,CAPITAL FEDERAL,26740670.88,,8894831.00,17845839.88
Radio FM,MEDIOS Y PARTICIPACIONES SA,FM 103.7 RADIO ONE,Capital Federal,CAPITAL FEDERAL,26366151.68,,9437883.84,16928267.84
Grafica,SENTIDOS S.A.,LA VOZ DEL INTERIOR,Cordoba,CORDOBA,25097228.58,,10158830.14,14938398.44
Redes,MEDIABIT S.A.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,25047000.00,,,25047000.00
Grafica,EDITORIAL LA PAGINA S.A.,PAGINA 12,Capital Federal,CAPITAL FEDERAL,24310592.55,,13199202.72,11111389.83
Radio FM,AFAKOT SA,FM 89.9 RADIO CON VOS,Capital Federal,CAPITAL FEDERAL,23135923.58,,6507271.10,16628652.48
Web,SENTIDOS S.A.,WWW.LAVOZ.COM.AR,Cordoba,CORDOBA,23010937.92,,10383146.57,12627791.35
Redes,MEDIABIT S.A.,PROGRAMMATIC EPL	,Capital Federal,CAPITAL FEDERAL,21630766.28,,14373321.19,7257445.09
TV Cable,TELEVISION LITORAL S.A.,CANAL 3,Santa Fe,ROSARIO,21498493.50,,2648448.00,18850045.50
Radio AM,RED CELESTE Y BLANCA S.A.,AM 910 LA RED,Capital Federal,CAPITAL FEDERAL,21379558.97,7484896.65,1198461.44,12696200.88
Grafica,EDITORIAL PERFIL S.A.,PERFIL,Capital Federal,CAPITAL FEDERAL,21149795.70,,8565795.70,12584000.00
Comunicacion Directa,TARGET VIA PUBLICA S.R.L.,TARGET VIA PUBLICA S.R.L.,Varias,Varias,21062962.97,,,21062962.97
TV Cable,SELENE PUBLICIDAD S.A.,FOX,Capital Federal,CAPITAL FEDERAL,20023443.00,,11574618.00,8448825.00
Via Publica,PUBLICAR S.A.,PUBLICAR S.A.,Varias,Varias,19937412.00,,,19937412.00
Comunicacion Directa,PUB.ESTATICA INTERNACIONAL S.A,PUB.ESTATICA INTERNACIONAL S.A,Varias,Varias,19277720.00,,9638860.00,9638860.00
Radio FM,DIFUSORA BAIRES S.A.,FM 94.3 DISNEY,Capital Federal,CAPITAL FEDERAL,18875767.68,,6441730.24,12434037.44
TV Cable,WORLD MANAGEMENT SRL,CADENA FOX SPORTS,Capital Federal,CAPITAL FEDERAL,18513000.00,,18513000.00,
TV Cable,CUYO TELEVISION S.A.,CANAL 9 TELEVIDA,Mendoza,MENDOZA,17587289.50,,2616080.50,14971209.00
Grafica,SENTIDOS S.A.,LOS ANDES,Mendoza,MENDOZA,17418682.58,,8279177.44,9139505.14
Radio FM,COMERCIAL MEDIOS S.A.,FM 95.1 METRO,Capital Federal,CAPITAL FEDERAL,17181068.30,,6095299.98,11085768.32
Radio FM,COMERCIAL MEDIOS S.A.,FM 95.9 ROCK AND POP,Capital Federal,CAPITAL FEDERAL,17142580.62,,6357463.42,10785117.20
Radio FM,DAK GRUPO CREATIVO S.R.L.,FM 90.3 DELTA,Capital Federal,CAPITAL FEDERAL,16815912.08,,5130913.04,11684999.04
Radio FM,SENTIDOS S.A.,FM 104.3 URBANA PLAY,Capital Federal,CAPITAL FEDERAL,16244770.30,,6104662.96,10140107.34
Redes,TONAL MEDIA S.R.L.,FACEBOOK - INSTAGRAM,Capital Federal,CAPITAL FEDERAL,15793371.38,,10164373.89,5628997.49
Grafica,EL LITORAL S.R.L.,DIARIO EL LITORAL,Santa Fe,SANTA FE,15675266.79,2640237.54,3071656.36,9963372.89
Radio AM,BARBOZA S.R.L.,AM 1030 RADIO DEL PLATA,Capital Federal,CAPITAL FEDERAL,15495731.90,,4737667.88,10758064.02
Via Publica,MULTIMARKETING S.A.,MULTIMARKETING S.A.,Varias,Varias,15260036.00,,,15260036.00
Grafica,LA GACETA S.A.,LA GACETA,Tucuman,SAN MIGUEL DE TUCUMAN,15136573.51,,6014794.84,9121778.67
Via Publica,VIA PUBLICA CLAN S.A.,VIA PUBLICA CLAN S.A.,Varias,Varias,15090757.00,,,15090757.00
Radio AM,COMERCIAL MEDIOS S.A.,AM 630 RADIO RIVADAVIA,Capital Federal,CAPITAL FEDERAL,14826278.83,,5276039.23,9550239.60
Via Publica,PUBLICARTEL S.A.,PUBLICARTEL S.A.,Varias,Varias,14305527.50,,,14305527.50
Radio AM,RADIODIFUSORA DEL CENTRO S.A.,CADENA 3 ARGENTINA PLAZA CORDOBA / LV 3 AM 700,Cordoba,CORDOBA,14280419.10,,3696398.15,10584020.95
Radio AM,PRODUCCIONES POPE S.R.L.,AM 1050 RADIO GENERAL GUEMES,Buenos Aires,GENERAL GUEMES,13857210.40,,4667445.53,9189764.87
Via Publica,WALL STREET VIA PUBLICA S.A.,WALL STREET VIA PUBLICA S.A.,Varias,Varias,13824976.00,,,13824976.00
Comunicacion Directa,BATPER SERVICIOS PUBLICIT. SRL,BATPER SERVICIOS PUBLICIT. SRL,Varias,Varias,13690925.92,,,13690925.92
Via Publica,DOBILA PUBLICIDAD S.A.,DOBILA PUBLICIDAD S.A.,Varias,Varias,13614194.00,,,13614194.00
Web,FSN S.R.L.,FUTBOL SITES FSN,Capital Federal,CAPITAL FEDERAL,13370500.00,,6685250.00,6685250.00
Via Publica,CERCO PUBLICIDAD S.A.,CERCO PUBLICIDAD S.A.,Varias,Varias,13001208.00,,,13001208.00
Via Publica,CARLOS A.GIROLA &ASOCIADOS SRL,CARLOS A.GIROLA &ASOCIADOS SRL,Varias,Varias,12901292.25,,,12901292.25
Via Publica,ST MEDIOS SA,ST MEDIOS SA,Varias,Varias,12869076.00,,,12869076.00
Web,ALTA DENSIDAD S.A.,WWW.CRONICA.COM.AR,Capital Federal,CAPITAL FEDERAL,12155000.00,,5083000.00,7072000.00
Web,ATLANTIDA DIGITAL S.A.,RED DE PORTALES ATLANTIDA DIGITAL,Capital Federal,CAPITAL FEDERAL,12133250.80,,4846776.00,7286474.80
Via Publica,ATACAMA S.A. DE PUBLICIDAD,ATACAMA S.A. DE PUBLICIDAD,Varias,Varias,11959882.00,,,11959882.00
Radio AM,COMERCIAL MEDIOS S.A.,AM 990 RADIO SPLENDID,Capital Federal,CAPITAL FEDERAL,11741176.92,,4124392.69,7616784.23
Radio AM,ARGENTINOS MEDIA S.A.,AM 950 CNN RADIO,Capital Federal,CAPITAL FEDERAL,11710428.40,,3992237.70,7718190.70
Radio FM,ASOC.P/FORTALECIM.COMUNITARIO,FM 102.1 LA PATRIADA,Capital Federal,CAPITAL FEDERAL,10991829.00,,3017820.00,7974009.00
Web,DESARROLLOS ELECTR. INFORM. SA,WWW.MINUTOUNO.COM,Capital Federal,CAPITAL FEDERAL,10898891.25,,4669177.50,6229713.75
Redes,GRANADA GROUP S.R.L.,DSP (DEMAND SIDE PLATFORM),Capital Federal,CAPITAL FEDERAL,10890000.00,,,10890000.00
Redes,SUPER MEDIA S.A.,DSP - PROGRAMATIC,Capital Federal,CAPITAL FEDERAL,10890000.00,,,10890000.00
Redes,UBBIMAP S.R.L.,"PUBLICIDAD DIGITAL A DISPOSITIVOS MOBILES, REDES SOCIALES E INTERNET",Capital Federal,CAPITAL FEDERAL,10707598.86,,,10707598.86
Grafica,EL DIA SOC.ANON.IND.COM. Y FIN,EL DIA,Buenos Aires,LA PLATA,10702192.70,1395734.34,,9306458.36
TV Cable,SELENE PUBLICIDAD S.A.,FOX SPORTS PREMIUM,Capital Federal,CAPITAL FEDERAL,10698336.00,,10564606.80,133729.20
Cine,FILMSUEZ S.A.,FILMSUEZ S.A.,Capital Federal,CAPITAL FEDERAL,10672200.00,,,10672200.00
Radio FM,COMERCIAL MEDIOS S.A.,FM 103.1 RADIO UNO,Capital Federal,CAPITAL FEDERAL,10664434.22,,4016718.42,6647715.80
Comunicacion Directa,LBMA S.R.L.,LBMA S.R.L.,Varias,Varias,10531481.06,,,10531481.06
Cine,ARIES PRODUCCIONES S.R.L.,ARIES PRODUCCIONES S.R.L.,Buenos Aires,GBA e INTERIOR DEL PAIS,10481625.00,,,10481625.00
Cine,TISTAL GROUP S.A.,TISTAL GROUP S.A.,Capital Federal,"CAPITAL FEDERAL , GBA e INTERIOR DEL PAIS",10481625.00,,,10481625.00
Via Publica,VOL 15 S.A.,VOL 15 S.A.,Varias,Varias,10381291.80,,,10381291.80
Radio AM,RADIO Y TELEVISION ARGENT. SE,AM 870 RADIO NACIONAL,Capital Federal,CAPITAL FEDERAL,10154151.81,,3365991.31,6788160.50
TV Cable,AMERICA TV S.A.,AMERICA SATELITAL,Buenos Aires,INTERIOR,10118058.72,6306558.72,,3811500.00
Grafica,ESECOM SA,EL ECONOMISTA,Capital Federal,CAPITAL FEDERAL,10110374.30,,5106227.10,5004147.20
Via Publica,PROURBE S.A,PROURBE S.A,Varias,Varias,10094304.00,,,10094304.00
Radio AM,COOP. DE TRABAJO AUTENTIKA LTDA,AM 530 RADIO SOMOS,Capital Federal,CAPITAL FEDERAL,9723454.73,,3478347.07,6245107.66
Radio AM,LS4 RADIO CONTINENTAL S.A.,AM 590 RADIO CONTINENTAL,Capital Federal,CAPITAL FEDERAL,9671958.34,,2996153.60,6675804.74
Web,EDITORIAL DIARIO LA CAPITAL SA,WWW.LACAPITAL.COM.AR,Santa Fe,ROSARIO,9655195.00,,3146000.00,6509195.00
Grafica,EDITORIAL RIO NEGRO S.A.,DIARIO RIO NEGRO,Rio Negro,GENERAL ROCA,9627162.40,,4775475.92,4851686.48
TV Cable,JORGE ESTORNELL S.A.,CANAL 7,Mendoza,MENDOZA,9579962.04,9579962.04,,
Via Publica,IMAGINEERS S.R.L.,IMAGINEERS S.R.L.,Varias,Varias,9357656.00,,,9357656.00
Web,MTV NETWORKS ARGENTINA SRL,WWW.TELEFE.COM,Capital Federal,CAPITAL FEDERAL,9062519.09,,2325239.09,6737280.00
Radio FM,FUNDACION OCTUBRE TRAB.DE EDIF,FM 89.1 RADIO OKTUBRE,Capital Federal,CAPITAL FEDERAL,9002505.27,,2949338.70,6053166.57
Via Publica,MEDIA 500 S.A.,MEDIA 500 S.A.,Varias,Varias,8818359.00,,,8818359.00
Via Publica,BUENOS AIRES MOVIL S.A.,BUENOS AIRES MOVIL S.A.,Varias,Varias,8706313.00,,,8706313.00
Via Publica,UMBRA S.A.,UMBRA S.A.,Varias,Varias,8672917.00,,,8672917.00
TV Cable,RIO PARANA TV S.R.L.,CANAL 13,Corrientes,CORRIENTES,8670039.04,,1825775.21,6844263.83
Via Publica,P MAS D IDEAS CREATIVAS SRL,P MAS D IDEAS CREATIVAS SRL,Varias,Varias,8589064.00,,,8589064.00
Grafica,EDITORIAL PERFIL S.A.,REVISTA NOTICIAS,Capital Federal,CAPITAL FEDERAL,8584977.95,,1499553.00,7085424.95
Via Publica,GRUPO CETA S.R.L.,GRUPO CETA S.R.L.,Varias,Varias,8515012.00,,,8515012.00
Via Publica,PC PUBLICIDAD S.A.,PC PUBLICIDAD S.A.,Varias,Varias,8489844.00,,,8489844.00
Grafica,SONIDO A TINTA S.A.,DIARIO HOY,Buenos Aires,LA PLATA,8470000.00,,2420000.00,6050000.00
Web,SENTIDOS S.A.,WWW.LOSANDES.COM.AR,Mendoza,MENDOZA,8455940.77,,2740123.94,5715816.83
Via Publica,ADMIRA S. A.,ADMIRA S. A.,Varias,Varias,8445800.00,,,8445800.00
Via Publica,THE OTHERSIDE S.R.L.,THE OTHERSIDE S.R.L.,Varias,Varias,8436604.00,,,8436604.00
Web,SENTIDOS S.A.,WWW.LOSANDES.COM.AR,Capital Federal,CAPITAL FEDERAL,8091962.88,,4840453.41,3251509.47
TV Cable,TELEVISORA DE TUCUMAN SAPEM,CANAL 10,Tucuman,SAN MIGUEL DE TUCUMAN,8049426.40,,1092086.72,6957339.68
Via Publica,TARGIZE JAVIER ENRIQUE,TARGIZE JAVIER ENRIQUE,Varias,Varias,7954056.00,,,7954056.00
Web,EMPREND. CORPORATIVOS S.A.,WWW.IPROFESIONAL.COM,Capital Federal,CAPITAL FEDERAL,7949707.26,,2420002.42,5529704.84
Via Publica,COMUNICACIONES AUDITADAS S.A.,COMUNICACIONES AUDITADAS S.A.,Varias,Varias,7918724.00,,,7918724.00
Web,FUTUROCK PRODUCCIONES S.R.L.,WWW.FUTUROCK.FM,Capital Federal,CAPITAL FEDERAL,7880648.93,,2584182.48,5296466.45
Via Publica,IMPACTO VISUAL GO S.A.,IMPACTO VISUAL GO S.A.,Varias,Varias,7826280.00,,,7826280.00
Web,SENTIDOS S.A.,WWW.VIAPAIS.COM.AR,Capital Federal,CAPITAL FEDERAL,7761870.35,,3655097.51,4106772.84
Radio FM,NRG S.A.,FM 101.1 LATINA,Capital Federal,CAPITAL FEDERAL,7729139.99,,2050492.62,5678647.37
Redes,SELENE PUBLICIDAD S.A.,YOUTUBE,Varias,Varias,7639428.17,,,7639428.17
TV Cable,SRT SERV R Y TV UNIV N CDBA SA,CANAL 10,Cordoba,CORDOBA,7564031.27,6745139.57,,818891.70
Grafica,COOP. DE TRAB. POR MAS TIEMPO,TIEMPO ARGENTINO,Capital Federal,CAPITAL FEDERAL,7493690.10,,2465940.10,5027750.00
Radio FM,PERFIL PERIODICOS S A,FM 101.9 RADIO PERFIL,Capital Federal,CAPITAL FEDERAL,7466565.15,,2378811.60,5087753.55
Via Publica,NE3 PUBLICIDAD S.R.L.,NE3 PUBLICIDAD S.R.L.,Varias,Varias,7421051.00,,,7421051.00
Grafica,HORIZONTES S.A.,EL TRIBUNO,Salta,SALTA,7396311.99,4239643.01,,3156668.98
Radio FM,LA CORNISA PRODUCCIONES S.A.,FM 107.9 RADIO BERLIN,Capital Federal,CAPITAL FEDERAL,7303124.40,,2378196.92,4924927.48
TV Cable,ARTE RADIOTELEVISIVO ARGENTINO,CANAL 12 CORDOBA,Cordoba,CORDOBA,7300882.88,,835970.85,6464912.03
Web,ALTA DENSIDAD S.A.,WWW.BAENEGOCIOS.COM,Capital Federal,CAPITAL FEDERAL,7281950.00,,828750.00,6453200.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Chubut,TRELEW,7052676.18,7052676.18,,
TV Cable,JORGE ESTORNELL S.A.,CANAL 8,San Juan,SAN JUAN,7044430.39,7044430.39,,
Via Publica,MIX DE MEDIOS S.R.L.,MIX DE MEDIOS S.R.L.,Varias,Varias,7032955.60,,,7032955.60
Radio FM,MAFRANI S.R.L.,FM 106.7 MILENIUM,Capital Federal,CAPITAL FEDERAL,7018279.51,,1984951.76,5033327.75
TV Cable,BARILOCHE TV. S.A.,CANAL 6,Rio Negro,BARILOCHE,6998536.55,,,6998536.55
Grafica,EDITORIAL LA CAPITAL S.A.,LA PRENSA,Capital Federal,CAPITAL FEDERAL,6945291.05,926902.35,2729350.00,3289038.70
Grafica,EDITORIAL PERFIL S.A.,CARAS,Capital Federal,CAPITAL FEDERAL,6941632.43,,1374538.83,5567093.60
Via Publica,PC PUBLICIDAD S.A.,PC PUBLICIDAD S.A.,Varias,Varias,6897000.00,,1090936.00,5806064.00
Via Publica,ESEXHI S.R.L.,ESEXHI S.R.L.,Varias,Varias,6828984.69,,,6828984.69
TV Cable,TELEVISION FEDERAL S.A.,CANAL 8 CORDOBA,Cordoba,CORDOBA,6815108.42,,914089.67,5901018.75
Via Publica,INVERSIONES ARROYO S.A.,INVERSIONES ARROYO S.A.,Varias,Varias,6801313.20,,,6801313.20
Via Publica,PUBLICIDAD SARMIENTO S.A.,PUBLICIDAD SARMIENTO S.A.,Varias,Varias,6779146.00,,1430462.00,5348684.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Neuquen,SAN MARTIN DE LOS ANDES,6746943.06,6746943.06,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Rio Negro,VIEDMA,6746943.06,6746943.06,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,San Juan,SAN JUAN,6746943.06,6746943.06,,
Via Publica,COMUNICACION CUYO S.A.,COMUNICACION CUYO S.A.,Varias,Varias,6740184.00,,,6740184.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Catamarca,CATAMARCA,6733294.26,6733294.26,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,La Rioja,LA RIOJA,6733294.26,6733294.26,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Santa Cruz,RIO GALLEGOS,6733294.26,6733294.26,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Tierra del Fuego,USHUAIA,6733294.26,6733294.26,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Tucuman,TUCUMAN - CAPITAL E INTERIOR,6733294.26,6733294.26,,
Grafica,DIARIO LA NUEVA SRL,DIARIO LA NUEVA,Buenos Aires,BAHIA BLANCA,6718589.01,,669253.95,6049335.06
Web,S.A. LA NACION,LA NACION,Capital Federal,CAPITAL FEDERAL,6654831.08,,6654831.08,
Via Publica,PUBLICAR S.A.,PUBLICAR S.A.,Varias,Varias,6630800.00,,,6630800.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Chubut,COMODORO RIVADAVIA,6594076.50,6594076.50,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Chubut,PUERTO MADRYN,6594076.50,6594076.50,,
TV Cable,SUPERCANAL S.A.,SUPERCANAL,San Luis,VILLA MERCEDES,6594076.50,6594076.50,,
Via Publica,PUBLICIDAD SUDMAR S.R.L.,PUBLICIDAD SUDMAR S.R.L.,Varias,Varias,6580464.00,,,6580464.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Mendoza,MENDOZA,6569167.44,6569167.44,,
Radio FM,RQP S.A.,FM 97.1 RADIO LIKE,Capital Federal,CAPITAL FEDERAL,6554086.00,,1975588.78,4578497.22
TV Cable,TELEVISION FEDERAL S.A.,CANAL 5,Santa Fe,ROSARIO,6499775.45,,453985.04,6045790.41
Via Publica,EXOS S.A.,EXOS S.A.,Varias,Varias,6497700.00,,,6497700.00
TV Cable,SUPERCANAL S.A.,SUPERCANAL,Cordoba,CORDOBA,6387183.44,6387183.44,,
Grafica,EDITORIAL LA CAPITAL S.A.,LA CAPITAL,Buenos Aires,MAR DEL PLATA,6380428.35,860072.89,946764.00,4573591.46
TV Cable,C.A.S. TV S.A.,CANAL 7,Santiago del Estero,SANTIAGO DEL ESTERO,6380417.12,,1031646.00,5348771.12
Via Publica,VOCES CONSULTING S.A.,VOCES CONSULTING S.A.,Varias,Varias,6284982.00,,,6284982.00
Web,AMERICA TV S.A.,WWW.A24.COM,Capital Federal,CAPITAL FEDERAL,6253556.50,,,6253556.50
Comunicacion Directa,ST MEDIOS SA,ST MEDIOS SA,Varias,Varias,6196410.00,,3098205.00,3098205.00
Via Publica,CONSIGLIERE MEDIOS S.R.L.,CONSIGLIERE MEDIOS S.R.L.,Varias,Varias,6098400.00,,,6098400.00
Radio AM,TELEVISION LITORAL S.A.,AM 1230 LT 2,Santa Fe,ROSARIO,6050704.22,,1358145.14,4692559.08
TV Cable,WORLD MANAGEMENT SRL,TYC SPORTS,Capital Federal,CAPITAL FEDERAL,6050000.00,,6050000.00,
TV Cable,TELEARTE S.A.,CANAL 9 SATELITAL,Capital Federal,CAPITAL FEDERAL,5868500.00,,363000.00,5505500.00
TV Cable,T.V. MAR DEL PLATA S.A.,CANAL 10,Buenos Aires,MAR DEL PLATA,5856460.50,,635867.10,5220593.40
TV Cable,RADIO VISION JUJUY S.A.,CANAL 7 JUJUY,Jujuy,SAN SALVADOR DE JUJUY,5769352.60,,913066.00,4856286.60
Via Publica,INVERSIONES ARROYO S.A.,INVERSIONES ARROYO S.A.,Varias,Varias,5749920.00,,,5749920.00
Radio FM,VORTERIX S.A.,FM 92.1 VORTERIX,Capital Federal,CAPITAL FEDERAL,5711417.80,,1666610.44,4044807.36
TV Cable,IMPERIO TELEVISION S.A.,CANAL 13,Cordoba,RIO CUARTO,5693906.20,2130914.73,,3562991.47
Radio FM,LS4 RADIO CONTINENTAL S.A.,FM 105.5 40 PRINCIPALES,Capital Federal,CAPITAL FEDERAL,5608425.02,,2214344.77,3394080.25
Radio FM,RAIMONDO AGUSTIN,FM 103.7 RADIO COOL,Buenos Aires,LA PLATA,5602058.00,,677600.00,4924458.00
Radio FM,R.P.O. PRODUCCIONES S.A.,FM 95.5 CONCEPTO,Capital Federal,CAPITAL FEDERAL,5561610.12,,2027085.17,3534524.95
Via Publica,BURUBURU & MC ORNI S.R.L.,BURUBURU & MC ORNI S.R.L.,Varias,CAPITAL FEDERAL,5559224.00,,,5559224.00
TV Cable,TV RIO DIAMANTE S.A.,CANAL 6,Mendoza,SAN RAFAEL,5556997.60,3671938.60,,1885059.00
Web,DIARIO LA NUEVA SRL,WWW.LANUEVA.COM,Buenos Aires,BAHIA BLANCA,5525000.00,,2210000.00,3315000.00
Via Publica,COOP. DE TRABAJO MOLL LTDA.,COOP. DE TRABAJO MOLL LTDA.,Varias,Varias,5502112.00,,,5502112.00
Via Publica,METROPOLI PUBLICIDAD EXT. S.A.,METROPOLI PUBLICIDAD EXT. S.A.,Varias,Varias,5437377.00,,,5437377.00
Web,LA GACETA S.A.,WWW.LAGACETA.COM.AR,Tucuman,TUCUMAN,5426305.50,,1545835.50,3880470.00
Via Publica,IDM S.A.,IDM S.A.,Varias,Varias,5412572.00,,,5412572.00
TV Cable,FEDERAL COMUNICACIONES S.A.,CANAL 11,Entre Rios,PARANA,5391573.66,621746.40,748324.50,4021502.76
